"Report Name: TG Monthly Bing Ads Product Spend"
"Report Time: 10/20/2025,10/26/2025"
"Time Zone: (GMT-08:00) Pacific Time (US & Canada); Tijuana"
"Last Completed Available Day: 10/28/2025 12:20:00 AM (GMT)"
"Last Completed Available Hour: 10/28/2025 12:20:00 AM (GMT)"

"Merchant product ID","Custom label 1 (Product)","Title","Brand","Price","Spend","Impressions","Clicks","CTR","Avg. CPC","Conversions","Revenue","Impression share","Impression share lost to rank","Absolute top impression share"
"43930695270625","EK25GB","EKKO EK25GB Electric Forklift - 5000lb Capacity","Ekko Lifts","30799","21.59","7,145","33","0.46%","0.65","0.00","0.00","39.32%","19.34%","9.19"
"43583286149345/ Duplicates","27PU40JG0417YY","4"" x 2"" Polyon Cast Wheel Swivel Caster - 800 lbs. Capacity - Standard","Durable Superior Casters","36.83","19.75","195","4","2.05%","4.94","0.00","0.00","48.89%","51.11%","0.00"
"43734461546721","Weightanka 08-2","Non-Penetrating Deadweight Rooftop Anchor System - OSHA Certified","Kee Safety","6172.81","19.70","7,522","36","0.48%","0.55","0.00","0.00","49.60%","21.50%","15.96"
"43698284429537","SU10","Series 4000 Standard Heavy Duty Cantilever Rack - 10 / Single Sided / Starter Kit","Meco-Omaha","2868.64","19.07","2,768","18","0.65%","1.06","0.00","0.00","52.94%","17.87%","12.10"
"44273951178977/ Duplicates","BPD-YL-03-060-S","Heavy Duty Bollard Cover for 3"" Pipes - Dome Top Design (60"" Height) - Yellow","S4 Bollards","55.7","18.37","6","1","16.67%","18.37","0.00","0.00","0.00%","0.00%","0.00"
"31080870641709/ Duplicates","ER10BOP2","10"" x 3"" Ever-Roll Flat Free Wheel 5/8"" Bearing (Offset) - 280 lbs. Cap.","Durable Superior Casters","56.36","14.75","163","1","0.61%","14.75","1.00","150.18","35.00%","65.00%","0.00"
"42970464026849/ Duplicates","55PU60LG2425YY","6"" x 3"" Heavy Duty Polyon Cast Wheel Swivel Caster - 2000 lbs. capacity - Standard","Durable Superior Casters","231.07","14.70","359","5","1.39%","2.94","0.00","0.00","25.00%","72.12%","1.92"
"43561163391201","EP25E","EKKO EP20E Electric Powered Pallet Jack - 4400-5500 lbs Capacity - 5500 lb","Ekko Lifts","8158","13.73","1,799","26","1.45%","0.53","0.00","0.00","57.06%","4.80%","4.95"
"42970468647137/ Duplicates","67SN80UC5317YY","8"" x 2-1/2"" Eco Rubber Wheel Swivel Caster - 450 Lbs. Capacity - Standard","Durable Superior Casters","37.91","11.10","238","5","2.10%","2.22","0.00","0.00","60.71%","39.29%","0.00"
"PP50GP50","","5"" x 1-1/4"" Poly-Pro Shopping Cart Wheel - 350 lbs. Cap.","Durable Superior Casters","5.18","10.48","227","9","3.96%","1.16","0.00","0.00","59.39%","37.27%","9.70"
