SKU,PRODUCT NAME,VENDOR,COST,PRICE,PROFIT,MARGIN,PRODUCT CATEGORY,OVERALL PRODUCT CATEGORY,SKU - 2
-173123,,Lincoln Industrial,$924.22 ,"$1,925.46 ","$1,001.24 ",52.00%,Pumps,Lincoln,-173123
00 80024T,"4"" HD Stem Casters, 2 W/ Brake, for Luxor Carts (4-Pack)",Luxor,$9.72 ,$16.20 ,$6.48 ,0.4,General Casters,Casters,00 80024T
00-80024AVJ,,Luxor,,,,,General Casters,Casters,00-80024AVJ
150 C40FX 900,C40 Rated Security Bollard with High Impact Resistance,ANNT Bollards,$588.00 ,$840.00 ,$252.00 ,30.00%,BLANK,BLANK,150 C40FX 900
003-0187,,Little Giant,,,,,Accessories,Accessories,003-0187
BDB4.5-42,Yellow Powder Coated Surface Mount Steel Pipe Bollard,ANNT Bollards,$136.50 ,$195.00 ,$58.50 ,30.00%,BLANK,BLANK,BDB4.5-42
BDB4.5X42,"Bolt Down Bollard 4.5"" O.D. x 42"" Powder Coated Yellow",ANNT Bollards,$136.50 ,$195.00 ,$58.50 ,30.00%,BLANK,BLANK,BDB4.5X42
BDB6-42,"6"" x 42"" H Sched 40 - Yellow Powder Coat on 10"" x 10"" plate",ANNT Bollards,$185.50 ,$265.00 ,$79.50 ,30.00%,BLANK,BLANK,BDB6-42
BDB6-42,Yellow Powder Coated Surface Mount Steel Pipe Bollard - 6.625in,ANNT Bollards,$185.50 ,$265.00 ,$79.50 ,30.00%,BLANK,BLANK,BDB6-42
CoreFlex,CoreFlex Adjustable Height Shock-Absorbing Bollard - Galvanized Steel,ANNT Bollards,$345.80 ,$494.00 ,$148.20 ,30.00%,BLANK,BLANK,CoreFlex
01HR20AB8168YY,"2"" Double Wheel Hard Rubber Threaded Swivel Stem Caster - 200 lbs. Capacity",Durable Superior Casters,$5.44 ,$14.99 ,$9.55 ,63.70%,General Casters,BLANK,01HR20AB8168YY
01HR20AB8168YY (4-Pack),,Durable Superior Casters,,,,,General Casters,Casters,01HR20AB8168YY (4-Pack)
01HR20AB8168YY (4-Pack) (S4 Warehouse Sale),,Durable Superior Casters,,,,,General Casters,Casters,01HR20AB8168YY (4-Pack) (S4 Warehouse Sale)
01HR20AB8168YY 4-Pack,"2"" Double Wheel Hard Rubber Threaded Swivel Stem Caster - 200 lbs. Capacity (4-Pack)",Durable Superior Casters,,,,,General Casters,Casters,01HR20AB8168YY 4-Pack
01HR30AB8262YY,"3"" Double Wheel Hard Rubber Threaded Swivel Stem Caster - 200 lbs. Capacity",Durable Superior Casters,$0.00 ,$14.33 ,$14.33 ,100.00%,General Casters,Casters,01HR30AB8262YY
01PO20AB8106YY,"2"" Double Wheel Polyolefin Swivel Caster - 200 lbs. Capacity",Durable Superior Casters,$4.76 ,$13.11 ,$8.35 ,63.70%,General Casters,Casters,01PO20AB8106YY
01PO20AB8106YY 4-Pack,"2"" Double Wheel Polyolefin Swivel Caster - 200 lbs. Capacity (4-Pack)",Durable Superior Casters,,,,,General Casters,Casters,01PO20AB8106YY 4-Pack
