SKU,Orders,Order Quantity,Sales Total,Cost Total,Shipping Total,Discounts Total,Refunds Total,Invoice Total,Profit Total,Product Name,Product Category,Finish,Bollard Type,Diameter (Inches),Height (Inches),Wholesale
RPCS6040+ESV60,101.67757533899999,383,231165.59999999998,157999.03999999986,32522.440000000002,7839.3099999999995,-1815.0,254033.72999999998,63512.25000000001,"6"" Removable Carbon Steel Bollard with Embedment Sleeve",Removable Bollards,Carbon Steel,Removable,6.0,36.0,Yes
RPCS4040+ESV40,116.75736859999999,499,219679.8,134272.69,38185.367483999995,4966.600000000001,0.0,252957.22748400003,80440.51,"4"" Removable Carbon Steel Bollard with Embedment Sleeve (36 Inch Height)",Removable Bollards,Carbon Steel,Removable,4.0,36.0,Yes
RPSS4040+ESV40,49.76735012099999,297,192051.01000000015,137416.91999999995,15383.68,4857.619999999999,-2375.88,200201.18999999997,47400.59000000001,"4"" Removable Stainless Steel Bollard with Embedment Sleeve",Removable Bollards,Stainless Steel,Removable,4.0,36.0,Yes
MRCS4040-Y,20.0,209,149525.0,92915.08,9143.570000000002,19133.32,0.0,139535.25,37476.59999999999,"4"" Manual Retractable Yellow Carbon Steel Bollard (36"" Height)",Retractable Bollards,Carbon Steel,Retractable,4.0,36.0,Yes
MRSS4040,29.6,125,120317.46999999999,77870.83,8828.59,2697.45,-1963.4,124485.20999999996,37785.79,"4"" Manual Retractable Stainless Steel Bollard (36"" Height)",Retractable Bollards,Stainless Steel,Retractable,4.0,36.0,Yes
RPSS6040+ESV60,19.0,106,95680.0,68822.98,6715.46,2409.8333338,-894.95,99090.67666620002,23552.2366662,"6"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)",Removable Bollards,Stainless Steel,Removable,6.0,36.0,Yes
MRCS4040-B,23.0,67,52256.0,34099.619999999995,7774.74,611.29,0.0,59419.450000000004,17545.089999999997,"4"" Manual Retractable Black Carbon Steel Bollard (36"" Height)",Retractable Bollards,Carbon Steel,Retractable,4.0,36.0,No
C40,6.81306581,63,52176.0,36855.0,4747.749999999999,1922.8000000000002,0.0,55000.95,13398.2,"ASTM C40 Crash Rated Bollard - 5,000 lb Rated at 30 MPH (36"" Height)",Crash Rated Bollards,Pipe,Crash Rated,6.0,36.0,No
BSSV604036,5.0,92,48270.88,37407.58,4332.55,2062.35,0.0,50541.08,8800.95,"6"" Stainless Steel Dome Top Bollard with Baseplate",Fixed Bollards,Stainless Steel,Baseplate,6.0,36.0,Yes
ASTM40304F3016,4.0,34,41523.3,32525.0,1711.0,0.0,0.0,43234.3,8998.3,"4"" ASTM F3016 LOW SPEED CRASH TESTED, 304 GRADE STAINLESS STEEL RETRACTABLE BOLLARD 10MPH",Crash Rated Bollards,Stainless Steel,Retractable,4.0,36.0,No
BSSV404036,9.63820026,121,37781.490000000005,26499.0,3301.8900000000003,2641.23,-1199.72,37242.43,7441.540000000001,"4"" Stainless Steel Dome Top Bollard with Baseplate (36"" Height)",Fixed Bollards,Stainless Steel,Baseplate,4.0,36.0,Yes
BCSV604042,11.56,65,21197.800000000003,14956.4,3821.8,636.4200000000001,-1252.0,23199.06,4352.98,"6"" Carbon Steel Dome Top Bollard with Baseplate (36-42"" Height)",Fixed Bollards,Carbon Steel,Baseplate,6.0,42.0,No
RPSS4040,2.5,60,22578.920000000002,17840.56,407.95,2160.12,0.0,20826.750000000004,2578.2400000000002,"4"" Removable Stainless Steel Bollard",Removable Bollards,Stainless Steel,Removable,4.0,36.0,Modified
FSS6040304 6 FINISH,0.79,15,19182.0,14199.0,503.51,0.0,0.0,19685.51,4983.0,"FIXED STAINLESS STEEL 6"" BOLLARD. SCHEDULE 40 POLISHED TO #6 FINISH. 304 STAINLESS STEEL. FLAT CAP. OVERALL 48"". 36"" ABOVE, 12"" BELOW.",Fixed Bollards,Stainless Steel,Fixed In Ground,6.0,36.0,No
ASTMF301660FIXED,2.0,15,18213.559999999998,13636.35,475.44,0.0,0.0,18689.0,4577.209999999999,"6"" ASTM F3016 LOW SPEED CRASH TESTED, STAINLESS STEEL, FIXED BOLLARD, RATED FOR 20MPH, POLISED TO #4 FINISH. STAINLESS GRADE: 304, DOME CAP. 54"" OVERALL LENGTH. 36"" ABOVE, 18"" BELOW.",Crash Rated Bollards,Stainless Steel,Fixed,6.0,36.0,No
RSSV4040D+ESV40,3.0,18,18889.84,13691.86,856.2199999999999,1081.31,0.0,18664.75,4116.67,"4"" Stainless Steel Internal Locking Removable Bollard with Embedment Sleeve",Removable Bollards,Stainless Steel,Removable,4.0,36.0,No
ASTM40F3016CSRB,0.71081192,18,17023.32,14043.96,746.352516,0.0,0.0,17769.672516,2979.3600000000006,"4"" ASTM F3016 LOW SPEED CRASH TESTED, CARBON STEEL, PADLOCK REMOVABLE BOLLARD RATED FOR 10MPH.  48"" TALL WITH 36"" ABOVEGRADE AND 12"" BELOW. DOME CAP, POWDER COATED SAFETY YELLOW. RAL 1023 INCLUDES 4"" CRASH TESTED EMBEDMENT SLEEVE 12"" DEPTH",Crash Rated Bollards,Carbon Steel,Removable,4.0,36.0,No
