SKU,Product,Avg Monthly,Months Supply,Recommended Qty,ZASP CPU,Total Cost
RPCS6040+ESV60,"6"" CARBON STEEL REMOVABLE",8.577142857142857,4,35,125.0,4375.0
MRCS4040-Y,"4"" CARBON STEEL RETRACTABLE",8.188571428571429,4,35,222.22,7777.7
RPSS4040+ESV40,"4"" STAINLESS STEEL REMOVABLE",7.927619047619048,4,30,187.3,5619.0
RPCS4040+ESV40,"4"" CARBON STEEL REMOVABLE",7.302857142857143,4,30,108.0,3240.0
BCSV604036,"6"" BASEPLATE CARBON STEEL - 36""",6.194285714285714,4,25,100.0,2500.0
MRSS4040,"4"" STAINLESS STEEL RETRACTABLE",5.228571428571429,4,20,274.6,5492.0
RPSS6040+ESV60,"6"" STAINLESS STEEL REMOVABLE",3.078095238095238,3,9,257.14,2314.2599999999998
,Monthly,1.530612244897959,3,5,171.38600000000002,856.9300000000001
BSSV404036,"4"" BASEPLATE STAINLESS STEEL - 36""",1.382857142857143,3,4,169.84,679.36
BSSV604036,"6"" BASEPLATE STAINLESS STEEL - 36""",1.0514285714285714,3,3,204.76,614.28
BCSV404036,"4"" BASEPLATE CARBON STEEL - 36""",0.5638095238095238,3,2,65.0,130.0
