Month,Platform,Product Category,SKU,Title,Vendor,Price,Ad Spend,Impressions,Clicks,CTR,Avg. CPC,Conversions,Revenue,Impression share,Impression share lost to rank,Absolute top impression share
2025-10,Bing,Electric Forklifts,EK25GB,EKKO EK25GB Electric Forklift - 5000lb Capacity,Ekko Lifts,"$30,799.00",$208.52,"57,723",423,0.01%,$0.49,,,0.63%,0.18%,15.82%
2025-10,Bing,Cantilever,SU10,Series 4000 Standard Heavy Duty Cantilever Rack - 10 / Single Sided / Starter Kit,Meco-Omaha,"$2,868.64",$133.64,"18,341",182,0.01%,$0.73,,,0.55%,0.12%,12.89%
2025-10,Bing,Rack Protection,WEIGHTANKA 08-2,Non-Penetrating Deadweight Rooftop Anchor System - OSHA Certified,Kee Safety,"$6,172.81",$115.77,"47,612",222,0.00%,$0.52,,,0.61%,0.20%,19.06%
2025-10,Bing,Electric Pallet Jacks,EP25E,EKKO EP20E Electric Powered Pallet Jack - 4400-5500 lbs Capacity - 5500 lb,Ekko Lifts,"$8,158.00",$86.65,"11,993",108,0.01%,$0.80,,,0.47%,0.07%,4.57%
2025-10,Bing,Gate Casters,G327NR60JB0437YY,"6"" x 2"" Rubber on Nylon Wheel Heavy Duty Spring Gate Caster",Durable Superior Casters,$143.09,$78.05,"2,597",27,0.01%,$2.89,,,0.52%,0.47%,6.98%
2025-10,Bing,Heavy Duty / Container,05MA30IB6312YY,"3"" x 1-13/16"" MaxRok Heavy Duty Machine Swivel Caster 1000 lbs. Cap.",Durable Superior Casters,$35.76,$62.51,"1,097",12,0.01%,$5.21,,,0.67%,0.32%,0.30%
2025-10,Bing,General Casters,27PU40JG0417YY,"4"" x 2"" Polyon Cast Wheel Swivel Caster - 800 lbs. Capacity - Standard",Durable Superior Casters,$36.83,$59.71,958,12,0.01%,$4.98,,,0.59%,0.35%,2.42%
2025-10,Bing,Flat Top Dollies,M998044,"Flush Top Heavy Duty Moving Dolly 12"" x 16"" - 2500 lb. Capacity",Merrick Machine,$165.05,$59.27,"12,820",99,0.01%,$0.60,,,0.64%,0.24%,7.41%
2025-10,Bing,General Casters,27TP60JX6017YY,"6"" x 2"" Thermo-Pro Wheel Swivel Caster - 500 lbs. capacity - Standard",Durable Superior Casters,$36.36,$54.52,437,5,0.01%,$10.90,1.00,$194.95,0.92%,0.06%,2.08%
2025-10,Bing,General Casters,67SN80UC5317YY,"8"" x 2-1/2"" Eco Rubber Wheel Swivel Caster - 450 Lbs. Capacity - Standard",Durable Superior Casters,$37.91,$51.43,938,15,0.02%,$3.43,,,0.78%,0.18%,1.51%
