Month,Platform,Product Category,SKU,Title,Vendor,Price,Ad Spend,Impressions,Clicks,CTR,Avg. CPC,Conversions,Revenue,Impression share,Impression share lost to rank,Absolute top impression share
2025-10,Bing,Electric Forklifts,EK25GB,EKKO EK25GB Electric Forklift - 5000lb Capacity,Ekko Lifts,"$30,799.00",$21.59,"7,145",33,0.46%,$0.65,,,39.32%,19.34%,9.19%
2025-10,Bing,General Casters,27PU40JG0417YY,"4"" x 2"" Polyon Cast Wheel Swivel Caster - 800 lbs. Capacity - Standard",Durable Superior Casters,$36.83,$19.75,195,4,2.05%,$4.94,,,48.89%,51.11%,
2025-10,Bing,Rack Protection,WEIGHTANKA 08-2,Non-Penetrating Deadweight Rooftop Anchor System - OSHA Certified,Kee Safety,"$6,172.81",$19.70,"7,522",36,0.48%,$0.55,,,49.60%,21.50%,15.96%
2025-10,Bing,Cantilever,SU10,Series 4000 Standard Heavy Duty Cantilever Rack - 10 / Single Sided / Starter Kit,Meco-Omaha,"$2,868.64",$19.07,"2,768",18,0.65%,$1.06,,,52.94%,17.87%,12.10%
2025-10,Bing,Bollard Covers,BPD-YL-03-060-S,"Heavy Duty Bollard Cover for 3"" Pipes - Dome Top Design (60"" Height) - Yellow",S4 Bollards,$55.70,$18.37,6,1,16.67%,$18.37,,,0.00%,0.00%,
2025-10,Bing,General Casters,ER10BOP2,"10"" x 3"" Ever-Roll Flat Free Wheel 5/8"" Bearing (Offset) - 280 lbs. Cap.",Durable Superior Casters,$56.36,$14.75,163,1,0.61%,$14.75,1.00,$150.18,35.00%,65.00%,
2025-10,Bing,Heavy Duty / Container,55PU60LG2425YY,"6"" x 3"" Heavy Duty Polyon Cast Wheel Swivel Caster - 2000 lbs. capacity - Standard",Durable Superior Casters,$231.07,$14.70,359,5,1.39%,$2.94,,,25.00%,72.12%,1.92%
2025-10,Bing,Electric Pallet Jacks,EP25E,EKKO EP20E Electric Powered Pallet Jack - 4400-5500 lbs Capacity - 5500 lb,Ekko Lifts,"$8,158.00",$13.73,"1,799",26,1.45%,$0.53,,,57.06%,4.80%,4.95%
2025-10,Bing,General Casters,67SN80UC5317YY,"8"" x 2-1/2"" Eco Rubber Wheel Swivel Caster - 450 Lbs. Capacity - Standard",Durable Superior Casters,$37.91,$11.10,238,5,2.10%,$2.22,,,60.71%,39.29%,
2025-10,Bing,General Casters,PP50GP50,"5"" x 1-1/4"" Poly-Pro Shopping Cart Wheel - 350 lbs. Cap.",Durable Superior Casters,$5.18,$10.48,227,9,3.96%,$1.16,,,59.39%,37.27%,9.70%
2025-10,Bing,Gate Casters,G327NR60JB0437YY,"6"" x 2"" Rubber on Nylon Wheel Heavy Duty Spring Gate Caster",Durable Superior Casters,$143.09,$9.48,493,3,0.61%,$3.16,,,22.76%,75.61%,1.63%
2025-10,Bing,Heavy Duty / Container,27PU60JV0417TY,"6"" x 2"" Polyon Cast Swivel Caster Med Heavy Duty, Top Lock Brake,1200# Cap - Standard",Durable Superior Casters,$58.15,$9.03,200,1,0.50%,$9.03,,,55.88%,44.12%,
2025-10,Bing,General Casters,PO40GB82,"4"" x 1-1/4"" Polyolefin Wheel Black - 350 lbs. Capacity",Durable Superior Casters,$1.87,$7.66,99,4,4.04%,$1.92,,,63.45%,35.86%,11.72%
2025-10,Bing,General Casters,RS10JB04,"10"" x 2"" Mold-On Rubber Cast Iron Wheel - 750 lbs. capacity - 3/4"" ID Roller Bearing",Durable Superior Casters,$76.75,$7.57,59,1,1.69%,$7.57,,,50.00%,50.00%,
2025-10,Bing,Carts,SM18-53,"6 Wheel Stocking Cart (55""L)",Dutro,$378.67,$7.21,171,2,1.17%,$3.61,,,12.87%,81.19%,0.99%
2025-10,Bing,Removable Bollards,RPSS4040+ESV40,"4"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)",S4 Bollards,$595.00,$7.07,99,2,2.02%,$3.54,,,100.00%,0.00%,
2025-10,Bing,Pallets,4840-CTC-C,"Plastic Nesting Pallet 48""W x 40""D",Composite Technologies Inc.,$62.60,$6.88,"3,208",8,0.25%,$0.86,,,33.25%,57.08%,5.66%
2025-10,Bing,Fixed Bollards,BCSV604042,"6"" Carbon Steel Dome Top Bollard with Baseplate (36-42"" Height) - 42"" Height",S4 Bollards,$299.25,$6.58,128,4,3.13%,$1.65,1.00,$1560.67,52.63%,47.37%,
2025-10,Bing,Flat Top Dollies,M998044,"Flush Top Heavy Duty Moving Dolly 12"" x 16"" - 2500 lb. Capacity",Merrick Machine,$165.05,$6.57,"2,069",13,0.63%,$0.51,,,47.53%,22.70%,8.22%
2025-10,Bing,General Casters,SR40GB42,"4"" x 1-1/4"" Soft Rubber Wheel Black - 245 lbs. Capacity",Durable Superior Casters,$8.35,$6.55,29,3,10.34%,$2.18,,,79.41%,20.59%,11.76%
2025-10,Bing,Gate Casters,G327HU60JI6037YY,"6"" x 2"" Rubber on Ergolastomer Wheel Heavy Duty Spring Gate Caster",Durable Superior Casters,$189.64,$6.33,235,3,1.28%,$2.11,,,66.67%,33.33%,8.33%
2025-10,Bing,Quicklub,94024,Electric Grease Pump W/ Timer - P203 Series 24V,Lincoln Industrial,"$1,177.54",$6.20,719,9,1.25%,$0.69,,,47.04%,11.86%,20.95%
2025-10,Bing,General Casters,PP10HI95,"10"" x 1-1/2 Poly-Pro Wheel Gray/Gray - 700bs. Capacity - 1-3/8"" ID Plain Bore",Durable Superior Casters,$30.80,$5.92,379,2,0.53%,$2.96,,,4.41%,88.11%,
2025-10,Bing,Heavy Duty / Container,FTPM60JM6017YY,"6"" x 2"" Polymadic Wheel Swivel Caster W/ Total Lock Brake - 900 lbs. Cap.",Durable Superior Casters,$72.26,$5.57,165,2,1.21%,$2.79,,,42.19%,57.81%,3.13%
2025-10,Bing,General Casters,27PU40JG0417TY,"4"" x 2"" Polyon Cast Wheel Swivel Caster w/ Top Lock Brake - 800 lbs. Cap. - Standard",Durable Superior Casters,$44.68,$5.44,145,1,0.69%,$5.44,,,42.86%,57.14%,
2025-10,Bing,High Temp Casters,27HT40JQ0417YY,"4"" x 2"" High Temp. Phenolic Swivel Caster (Zinc Plated) - 600 lbs. Cap. - Standard",Durable Superior Casters,$55.15,$5.18,7,1,14.29%,$5.18,,,100.00%,0.00%,
2025-10,Bing,Dollies,1354,"Carpeted Piano Dolly - 1,200lb Capacity",Dutro,$167.27,$5.12,200,3,1.50%,$1.71,,,18.39%,81.61%,2.30%
2025-10,Bing,,CP4840-N-100,"Plastic Industrial Pallet 48"" x 40"" - 3,500 lbs. Static Load",Nelson,$33.25,$5.10,13,2,15.38%,$2.55,,,6.25%,92.71%,
2025-10,Bing,Removable Bollards,RPCS6040+ESV60,"6"" Removable Carbon Steel Bollard with Embedment Sleeve (36"" Height)",S4 Bollards,$560.00,$5.03,354,7,1.98%,$0.72,,,69.39%,28.57%,2.04%
2025-10,Bing,Bollard Covers,PPS-YL-04-065-NS,"Reflective Dome Top Bollard Covers for 4"" Diameter Pipe (65"" Height)",S4 Bollards,$42.99,$4.89,55,1,1.82%,$4.89,,,0.00%,0.00%,
2025-10,Bing,Removable Bollards,RPCS4040+ESV40,"4"" Removable Carbon Steel Bollard with Embedment Sleeve (36 Inch Height)",S4 Bollards,$475.00,$4.88,"1,146",7,0.61%,$0.70,,,41.42%,15.33%,8.70%
2025-10,Bing,General Casters,SR40GB82,"4"" x 1-1/4"" Soft Rubber Wheel - 350 lbs. Capacity",Durable Superior Casters,$3.97,$4.55,34,3,8.82%,$1.52,,,66.67%,33.33%,2.38%
2025-10,Bing,Edge of Dock Levelers,20EP72,"Bluff® Edge Of Dock Leveler - 20,000lb. Capacity",Bluff Manufacturing,"$1,886.00",$4.48,"3,137",13,0.41%,$0.34,,,63.08%,28.46%,12.31%
2025-10,Bing,Cargo Safety,BN-0304,Bednet Interior Cargo Restraint - Backseat Cargo Net with Mesh,Adrian's Safety,$129.99,$4.47,81,3,3.70%,$1.49,,,23.42%,73.87%,5.41%
2025-10,Bing,Stretch Wrap Machines,SWM-SA-1200UL,"Model 1200UL Semi-Automatic Ultra-Low Pallet Stretch Wrap Machine - 86""",Handle-It,"$15,300.00",$4.45,"1,768",18,1.02%,$0.25,,,41.85%,6.61%,2.64%
2025-10,Bing,BLANK,133D,Plastic Plug,Kee Safety,$5.12,$4.42,255,4,1.57%,$1.11,,,37.64%,59.55%,2.25%
2025-10,Bing,Heavy Duty / Container,43HS80JS0419YY,"8"" x 2"" Heavy Duty Semi-Steel Wheel Swivel Caster - 1400 lbs. capacity - Standard",Durable Superior Casters,$84.77,$4.30,202,3,1.49%,$1.43,,,40.00%,60.00%,
2025-10,Bing,Rack Protection,RP-42LH-MD,"End of Aisle Rack Protector Medium Duty - Left / 42""",Handle-It,$135.00,$4.26,55,4,7.27%,$1.07,,,38.89%,55.56%,
2025-10,Bing,Bellman Casters,W-NF08250R,"8"" Bellman Luggage Cart Wheel, Flat Free, 350 lbs.",Dh International,$29.62,$4.20,532,8,1.50%,$0.53,,,32.05%,57.56%,7.90%
2025-10,Bing,Bollard Covers,ARCH-402GY-06-052-S,"Architectural Bollard Covers for 6"" and 4"" Bollards (52"" Height), Light Gray / No",S4 Bollards,$119.99,$4.14,2,2,100.00%,$2.07,1.00,$649.47,100.00%,0.00%,
2025-10,Bing,General Casters,01HR20AB8168YY,"2"" Double Wheel Hard Rubber Threaded Swivel Stem Caster - 200 lbs. Capacity",Durable Superior Casters,$10.14,$4.13,208,4,1.92%,$1.03,,,67.88%,27.74%,6.93%
2025-10,Bing,Guard Rail,GR-10,Heavy Duty Warehouse Guard Rail Beam - 10 ft,Handle-It,$245.45,$4.09,246,5,2.03%,$0.82,,,39.60%,9.90%,5.94%
2025-10,Bing,General Casters,RS12KB23,"12"" x 2-1/2"" Mold-On Rubber Cast Iron Wheel - 1200 lbs. capacity",Durable Superior Casters,$108.04,$4.01,30,1,3.33%,$4.01,,,75.00%,25.00%,
2025-10,Bing,Accessories,HKCTBR8PK,"Toilet Brush & Holder, 8 Pack",Suncast Commercial,$109.70,$3.88,34,2,5.88%,$1.94,,,21.80%,76.69%,3.76%
2025-10,Bing,Guard Rail,GR-6-S2,Heavy Duty Warehouse Double Guard Rail Starter Unit - 6 ft,Handle-It,$654.73,$3.85,442,12,2.71%,$0.32,,,15.58%,30.52%,3.25%
2025-10,Bing,General Casters,PS73X95,Pallet Jack Load Wheel - 1300lb. Capacity,Durable Superior Casters,$46.83,$3.82,141,2,1.42%,$1.91,,,65.41%,33.33%,9.43%
2025-10,Bing,Mattress Moving Carts,2041-PT,Mattress Moving Cart (Pillow Top),Dutro,$349.30,$3.78,118,5,4.24%,$0.76,1.00,$535.39,48.39%,51.61%,12.90%
2025-10,Bing,General Casters,21PP35GA4468YY,"3-1/2"" x 1-1/4"" Poly-Pro Wheel Threaded Swivel Stem Caster - 300 lbs. capacity",Durable Superior Casters,$13.72,$3.71,13,2,15.38%,$1.86,,,52.63%,47.37%,
2025-10,Bing,Cantilever,AU10,Series 4000 Standard Heavy Duty Cantilever Rack,Meco-Omaha,"$1,543.27",$3.68,215,3,1.40%,$1.23,,,12.40%,87.60%,1.55%
2025-10,Bing,Stretch Wrap Machines,SWM-SA-STDRMP,Ramp for Stretch Wrap Machines 600/800/850/1100,Handle-It,$750.00,$3.46,125,1,0.80%,$3.46,,,100.00%,0.00%,
2025-10,Bing,General Casters,75TP50GY4756TY,"5"" x 1-1/4"" Thermo-Pro Wheel Square Swivel Stem Caster W/ Brake - 300 lbs. Cap.",Durable Superior Casters,$28.29,$3.33,38,1,2.63%,$3.33,,,100.00%,0.00%,
2025-10,Bing,Accessories,F86145B0,"Valley Craft Steel Drum Grabber Forklift Attachments, Deluxe",Valley Craft,$895.00,$3.25,2,1,50.00%,$3.25,,,100.00%,0.00%,
2025-10,Bing,Fixed Bollards,"P 4 SCH 40 @ 84""","Steel Pipe Bollards - Raw / 4""",S4 Bollards,$132.86,$3.22,17,2,11.76%,$1.61,,,86.67%,13.33%,6.67%
2025-10,Bing,Bollard Covers,ARCH-402GY-06-052-S,"Architectural Bollard Covers for 6"" and 4"" Bollards (52"" Height)",S4 Bollards,$119.99,$3.12,5,1,20.00%,$3.12,,,66.67%,33.33%,
2025-10,Bing,General Casters,21PP50GP4742YY,"5"" x 1-1/4"" Poly-Pro Wheel Square Swivel Stem Caster - 350 lbs. Capacity",Durable Superior Casters,$20.14,$3.11,26,1,3.85%,$3.11,,,100.00%,0.00%,
2025-10,Bing,Pallet Rack Safety Netting,BN-MSN-95.5,Modular Pallet Rack Safety Netting - Standard/J-Hook Attachments - 8 ft / Standard,Adrian's Safety,$105.00,$3.09,361,3,0.83%,$1.03,,,50.00%,10.42%,9.03%
2025-10,Bing,Pallet Rack Safety Netting,BN-MSN-119.5,Modular Pallet Rack Safety Netting - Standard/J-Hook Attachments - 10 ft / Standard,Adrian's Safety,$120.00,$3.09,188,3,1.60%,$1.03,,,21.88%,78.13%,
2025-10,Bing,AF - Electric Pallet Jacks,A-1034,"Lithium Full Electric Pallet Jack, 3300 lbs Capacity, 48"" x 27"" Forks",Apollo Forklift,"$1,572.00",$3.05,577,7,1.21%,$0.44,,,13.03%,80.99%,0.35%
2025-10,Bing,General Casters,28TP80JX6017YY,"8"" x 2"" Thermo-Pro Wheel Rigid Caster - 600 lbs. Capacity",Durable Superior Casters,$38.32,$3.04,156,2,1.28%,$1.52,,,80.70%,17.54%,7.02%
2025-10,Bing,General Casters,75TP50GY4756YY,"5"" x 1-1/4"" Thermo-Pro Wheel Square Swivel Stem Caster - 300 lbs. Capacity",Durable Superior Casters,$25.81,$3.01,237,2,0.84%,$1.51,,,71.93%,2.63%,14.04%
2025-10,Bing,Bins,QUS234BL,"Ultra Stack and Hang Bins 5-1/2""W x 14-3/4""L x 5""H (12 pack) - Blue",Quantum Storage Systems,$87.12,$2.98,2,1,50.00%,$2.98,,,50.00%,50.00%,
